sobject_id,ra,dec,gaiadr3_source_id,tmass_id
170910004101274,0.0005000000237487257,5.380555629730225,2745049530295263232,00000011+0522500
161116001701360,0.0010000000474974513,-57.16233444213867,4922452332795612416,00000023-5709445
161116001701016,0.0010000000474974513,-57.71352767944336,4919409709243747968,00000024-5742487
140713004601361,0.0010416667209938169,-75.68794250488281,4685221429109310080,00000025-7541166
140708007101175,0.0015833333600312471,-77.94086456298828,4683766775225601664,00000038-7756270
161118002501226,0.0016666667070239782,-51.24397277832031,4976477592542752384,00000040-5114382
200801005101085,0.0021250001154839993,-53.789249420166016,4972049927935844480,00000048-5347212
200801005101373,0.003874999936670065,-53.47186279296875,4972259865937767040,00000094-5328185
170910004101276,0.0044999998062849045,5.43186092376709,2745049976971860480,00000107+0525548
170713005601288,0.004708333406597376,-61.78105545043945,4905551464687197440,00000112-6146518
161116001701060,0.0052916668355464935,-58.35211181640625,4919132907191237504,00000126-5821078
170711005801103,0.005499999970197678,-65.00475311279297,4900290576426088960,00000133-6500170
140711003901014,0.009791666641831398,-80.9102783203125,4634226285971515520,00000235-8054370
140811005001234,0.010999999940395355,-72.36133575439453,4701758290149620480,00000263-7221408
170711005801109,0.012125000357627869,-64.7378921508789,4901059959687821696,00000291-6444163
150828004701027,0.01216666679829359,-79.38727569580078,4635353349812657792,00000294-7923142
170910004101280,0.014333332888782024,5.580944538116455,2745056574041661056,00000342+0534514
140711003901371,0.014375000260770321,-80.59261322021484,4634293351884119040,00000344-8035334
170910004101131,0.016083333641290665,4.111111164093018,2740333518765213440,00000385+0406399
140713004601395,0.016249999403953552,-75.95896911621094,4685155664570049408,00000390-7557323
140811005001160,0.016249999403953552,-73.39186096191406,4689447883087062784,00000392-7323306
161118002501223,0.01641666702926159,-51.29480743408203,4973474826286716800,00000395-5117412
140711003901013,0.016958333551883698,-80.85527801513672,4634227454203038208,00000407-8051190
170910004101254,0.01745833270251751,5.114139080047607,2744970571616835200,00000418+0506509
170910004101164,0.017875000834465027,4.539444446563721,2740432028135142528,00000428+0432221
140811005001171,0.018291667103767395,-73.21888732910156,4689462520335582592,00000440-7313079
170910004101127,0.01875000074505806,3.946444511413574,2740326852975975040,00000449+0356472
170829001901247,0.01899999938905239,-29.322999954223633,2332923160268087040,00000455-2919228
140711003901341,0.019333332777023315,-80.16236114501953,4634508585581962496,00000463-8009445
161116001701348,0.020625000819563866,-56.99430465698242,4922504834475892480,00000494-5659397
140713004601335,0.022958332672715187,-75.27655792236328,4688248384621355264,00000551-7516356
170711005801154,0.023749999701976776,-64.30828094482422,4901131634102035072,00000570-6418297
170910004101163,0.023916667327284813,4.460249900817871,2740413680034856576,00000573+0427369
201002002601385,0.024541666731238365,-66.25069427490234,4899922240030776192,00000586-6615023
170910004101122,0.02474999986588955,3.892277717590332,2740314311671472256,00000593+0353321
161118002501185,0.024833332747220993,-51.797306060791016,4973399234862248576,00000595-5147501
150828004701021,0.025041665881872177,-79.3505859375,4635400564390113024,00000605-7921020
170713005601295,0.02579166740179062,-61.435890197753906,4905620940078561664,00000618-6126092
200801005101086,0.026875000447034836,-53.92494583129883,4972044430377707904,00000643-5355297
170828002701211,0.029791666194796562,-29.852249145507812,2332867978528545280,00000715-2951081
170713005601108,0.030916666612029076,-62.39783477783203,4904723463711905152,00000741-6223523
200801005101304,0.032208334654569626,-53.003028869628906,4972331643431287936,00000778-5300102
140711003901061,0.03316666558384895,-81.4455795288086,4631183662419506048,00000796-8126441
200801005101336,0.033666666597127914,-53.36022186279297,4972273094437036672,00000806-5321365
170910004101154,0.033791664987802505,4.385777950286865,2740412408724540544,00000811+0423087
140811005001230,0.03400000184774399,-72.43619537353516,4689747293846978816,00000814-7226103
140708007101248,0.03408333286643028,-77.29830932617188,4684043852155820416,00000818-7717538
170829001901151,0.037416666746139526,-30.650583267211914,2314815200191046912,00000897-3039022
170713005601107,0.03745833411812782,-62.508140563964844,4904707314634877824,00000897-6230291
170829001901161,0.03920833393931389,-30.46994400024414,2314822175217983872,00000939-3028118
200801005101326,0.03983333334326744,-53.15369415283203,4972325939714721152,00000953-5309132
141104003301177,0.04116666689515114,-75.1407470703125,4688264808576282112,00000991-7508266
170910004101118,0.04266666620969772,3.7984166145324707,2740306889967988864,00001023+0347541
200801005101387,0.04320833459496498,-53.53036117553711,4972255570970471424,00001041-5331491
200801005101327,0.043958332389593124,-53.01016616821289,4972331437272857600,00001051-5300364
200801005101082,0.04458333179354668,-53.847721099853516,4972045839126979456,00001069-5350514
140711003901030,0.04520833492279053,-81.08966827392578,4634208693785476224,00001085-8105228
170910004101182,0.04541666805744171,4.651694297790527,2740435395388161536,00001089+0439060
200801005101084,0.0455833338201046,-54.085609436035156,4971991963057138304,00001092-5405081
140811005001204,0.04600000008940697,-72.79894256591797,4689676925102793600,00001103-7247560
140711003901040,0.046166665852069855,-81.1645278930664,4634205120372686848,00001107-8109523
170910004101275,0.04679166525602341,5.27691650390625,2744977507987162368,00001122+0516368
170829001901213,0.047208331525325775,-29.845138549804688,2332868008592476800,00001132-2950425
